price_num,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,availability_365,host_listings_count,amenity_count,price_per_person
139.01,2.0,1.0,1.0,1.0,30.0,162,0.94,4.4,4.26,4.79,4.41,255,1.0,21,69.505
793.61,6.0,2.0,3.0,6.0,30.0,1,0.03,5.0,5.0,5.0,5.0,242,3.0,56,132.26833333333335
102.965,1.0,1.0,2.0,1.0,30.0,11,0.09,5.0,5.0,4.91,4.73,10,1.0,12,102.965
413.0,2.0,1.0,1.0,1.0,3.0,173,1.0,4.96,4.98,4.99,4.81,90,1.0,36,206.5
195.98,2.0,1.0,2.0,4.0,30.0,146,1.19,4.74,4.77,4.87,4.65,365,1.0,51,97.99
222.87,2.0,1.0,1.0,2.0,30.0,57,0.3,4.71,4.38,4.89,4.7,0,1.0,40,111.435
102.24,2.0,1.0,1.0,1.0,14.0,80,0.42,4.73,4.57,4.82,4.66,264,3.0,33,51.12
102.965,3.0,1.0,1.0,2.0,30.0,31,0.17,4.5,4.3,4.47,4.37,35,6.0,38,34.321666666666665
102.965,2.0,1.0,1.0,1.0,30.0,58,0.32,4.71,4.41,4.17,4.5,0,3.0,11,51.4825
195.0,2.0,1.0,1.0,1.0,30.0,38,0.21,4.81,4.74,5.0,4.74,71,1.0,9,97.5
119.3,2.0,1.0,1.0,1.0,30.0,20,0.11,4.82,4.9,4.9,4.65,316,1.0,27,59.65
143.07,2.0,1.0,1.0,1.0,30.0,11,0.06,4.8,4.27,4.91,4.64,266,1.0,34,71.535
71.49,3.0,1.0,1.0,1.0,30.0,104,0.58,4.62,4.68,4.52,4.63,92,1.0,37,23.83
218.5,5.0,1.0,2.0,3.0,30.0,251,1.4,4.92,4.93,4.94,4.87,223,2.0,27,43.7
173.95,2.0,1.0,1.0,2.0,30.0,114,0.64,4.61,4.19,4.92,4.63,60,1.0,19,86.975
161.57,2.0,1.0,1.0,1.0,30.0,92,0.52,4.9,4.98,4.26,4.78,364,1.0,40,80.785
102.965,1.0,1.0,1.0,1.0,30.0,0,0.0,4.84,4.81,4.8,4.78,0,2.0,7,102.965
291.0,2.0,1.0,2.0,1.0,1.0,145,0.77,4.97,4.92,4.9,4.9,17,1.0,50,145.5
88.13,1.0,1.0,1.0,1.0,30.0,107,0.62,4.66,4.57,4.87,4.7,123,1.0,13,88.13
222.87,5.0,1.0,1.0,2.0,30.0,115,0.67,4.84,4.88,4.88,4.86,0,2.0,20,44.574
55.86,2.0,2.0,2.0,3.0,30.0,14,0.15,4.86,4.57,4.79,4.64,103,1.0,26,27.93
82.97,2.0,1.0,1.0,1.0,30.0,57,0.34,4.77,4.75,4.45,4.71,365,2.0,11,41.485
34.12,1.0,1.0,1.0,1.0,60.0,13,0.13,4.62,4.23,4.92,4.77,325,4.0,7,34.12
83.73,2.0,2.0,1.0,1.0,30.0,13,0.08,4.54,4.83,4.83,4.83,365,2.0,10,41.865
140.73,2.0,1.0,1.0,1.0,30.0,42,0.25,4.73,4.9,4.36,4.67,272,1.0,14,70.365
117.06,4.0,1.0,1.0,1.0,30.0,33,0.17,4.34,4.3,4.44,4.35,365,11.0,6,29.265
170.87,7.0,1.0,2.0,3.0,30.0,5,0.03,4.0,4.25,4.25,4.25,365,11.0,10,24.41
351.53,12.0,2.0,4.0,8.0,30.0,16,0.09,4.71,4.44,4.69,4.44,365,11.0,12,29.294166666666666
160.76,2.0,1.0,1.0,1.0,30.0,0,0.0,4.84,4.81,4.8,4.78,365,1.0,18,80.38
164.1,2.0,1.0,1.0,1.0,30.0,131,0.73,4.91,4.99,4.68,4.83,99,4.0,38,82.05
181.26,2.0,1.0,1.0,1.0,2.0,604,3.38,4.87,4.92,4.56,4.82,50,1.0,25,90.63
222.87,2.0,1.0,1.0,2.0,181.0,4,0.02,5.0,4.5,5.0,4.75,0,1.0,35,111.435
89.53,2.0,1.0,1.0,2.0,30.0,24,0.15,4.74,3.82,4.5,4.59,365,1.0,16,44.765
361.37,6.0,2.0,3.0,4.0,30.0,39,0.22,4.92,4.95,4.97,4.82,219,1.0,38,60.22833333333333
123.53,3.0,1.0,1.0,1.0,30.0,85,0.48,4.88,4.71,4.99,4.81,358,2.0,27,41.17666666666667
